0,1,2,3
enormously,tremendously,decidedly,guess
provisions,stipulations,interpretations,guess
haphazardly,randomly,linearly,guess
prominent,conspicuous,conspicuous,guess
zenith,pinnacle,decline,guess
flawed,imperfect,crude,guess
urgently,desperately,desperately,guess
consumed,eaten,supplied,guess
advent,coming,stability,guess
concisely,succinctly,succinctly,guess
salutes,greetings,privileges,guess
solitary,alone,fearless,guess
hasten,accelerate,accompany,guess
perseverance,endurance,disturbance,guess
fanciful,imaginative,logical,guess
showed,demonstrated,postponed,guess
constantly,continually,accidentally,guess
issues,subjects,benefits,guess
furnish,supply,advise,guess
costly,expensive,complicated,guess
recognized,acknowledged,welcomed,guess
spot,location,location,guess
make,earn,borrow,guess
often,frequently,hardly,guess
easygoing,relaxed,relaxed,guess
debate,argument,competition,guess
narrow,thin,poisonous,guess
arranged,planned,discarded,guess
infinite,limitless,structural,guess
showy,striking,incidental,guess
levied,imposed,correlated,guess
deftly,skillfully,humorously,guess
distribute,circulate,acknowledge,guess
discrepancies,differences,differences,guess
prolific,productive,promising,guess
unmatched,unequaled,emulated,guess
peculiarly,uniquely,suspiciously,guess
hue,color,scent,guess
hind,rear,rear,guess
highlight,accentuate,restore,guess
hastily,hurriedly,chronologically,guess
temperate,mild,windy,guess
grin,smile,smile,guess
verbally,orally,verbosely,guess
physician,doctor,doctor,guess
essentially,basically,ordinarily,guess
keen,sharp,sharp,guess
situated,positioned,positioned,guess
principal,major,exceptional,guess
slowly,gradually,continuously,guess
built,constructed,organized,guess
tasks,jobs,jobs,guess
unlikely,improbable,unpopular,guess
halfheartedly,apathetically,unconventionally,guess
annals,chronicles,songs,guess
wildly,furiously,furiously,guess
hailed,acclaimed,addressed,guess
command,mastery,mastery,guess
concocted,devised,supervised,guess
prospective,potential,prominent,guess
generally,broadly,accurately,guess
sustained,prolonged,analyzed,guess
perilous,dangerous,dangerous,guess
tranquillity,peacefulness,happiness,guess
dissipate,disperse,photograph,guess
primarily,chiefly,chiefly,guess
colloquial,conversational,conversational,guess
resolved,settled,examined,guess
feasible,possible,evident,guess
expeditiously,rapidly,repeatedly,guess
percentage,proportion,profit,guess
terminated,ended,evaluated,guess
uniform,alike,sharp,guess
figure,solve,express,guess
sufficient,enough,valuable,guess
fashion,manner,manner,guess
marketed,sold,diluted,guess
bigger,larger,better,guess
roots,origins,function,guess
normally,ordinarily,periodically,guess
